2026-09-05 12:10:13,016 | INFO | hr_assistant.document_loader | Loading document from 'data\hr_policy.txt'
2026-09-05 12:10:13,034 | INFO | hr_assistant.document_loader | Loaded 1 document(s)
2026-09-05 12:10:13,036 | INFO | hr_assistant.splitter | Split document(s) into 9 chunk(s)
2026-09-05 12:10:13,036 | INFO | hr_assistant.embedding | Initializing embeddings model 'jina-embeddings-v2-base-en'
2026-09-05 12:10:22,618 | INFO | faiss.loader | Loading faiss with AVX2 support.
2026-09-05 12:10:22,618 | INFO | faiss.loader | Could not load library with AVX2 support due to:
ModuleNotFoundError("No module named 'faiss.swigfaiss_avx2'")
2026-09-05 12:10:22,618 | INFO | faiss.loader | Loading faiss.
2026-09-05 12:10:23,103 | INFO | faiss.loader | Successfully loaded faiss.
2026-09-05 12:11:28,900 | INFO | __main__ | === Streamlit run: new question received ===
2026-09-05 12:11:29,707 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-05 12:12:16,772 | INFO | __main__ | === Streamlit run: new question received ===
2026-09-05 12:12:17,228 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-05 12:12:26,830 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
